date, pm25, pm10, o3, no2, so2
2023/11/24, 23, 15, , 4, 
2023/11/25, 24, 12, , 9, 
2023/11/26, 30, 8, , 7, 
2023/11/27, 29, 7, , 6, 
2023/11/28, 33, 8, , 8, 
2023/11/29, 24, 14, , 14, 
2023/11/30, 54, 13, , 6, 
2023/12/1, 61, 23, , 11, 
2023/12/2, 76, 16, , 8, 
2023/12/3, 70, 12, , 9, 
2023/12/4, 54, 12, , 6, 
2023/12/5, 59, 16, , 15, 
2023/12/6, 50, 13, , 14, 
2023/12/7, 57, 19, , 11, 
2023/12/8, 59, 16, , 4, 
2023/12/9, 31, 22, , 2, 
2023/12/10, 37, 18, , 4, 
2023/12/11, 32, 13, , 11, 
2023/12/12, 30, 10, , 9, 
2023/12/13, 34, 8, , 7, 
2023/12/14, 39, 18, , 14, 
2023/12/15, 52, 13, , 6, 
2023/12/16, 38, 13, , 5, 
2023/12/17, 44, 20, , 8, 
2023/12/18, 61, 11, , 7, 
2023/12/19, 44, 15, , 4, 
2023/12/20, 30, 13, , 3, 
2023/12/21, 20, 14, , 2, 
2023/12/22, 22, 11, , 3, 
2023/12/23, 18, 12, , 3, 
2023/12/24, 17, 9, , 3, 
2023/12/25, 17, 13, , 4, 
2023/12/26, 23, 12, , 8, 
2023/12/27, 47, 14, , 2, 
2023/12/28, 30, 11, , 5, 
2023/12/29, 28, 11, , 4, 
2023/12/30, 33, 11, , 1, 
2023/12/31, 25, 21, , 3, 
2023/7/1, 8, 17, 35, 1, 
2023/7/2, 11, 18, 29, 2, 
2023/7/3, 11, 15, 31, 2, 
2023/7/4, 5, 11, 27, 2, 
2023/7/5, 3, 13, 34, 3, 
2023/7/6, 12, 14, 57, 5, 
2023/7/7, 24, 15, 72, 3, 
2023/7/8, 19, 21, 45, 7, 
2023/7/9, 35, 12, 37, 4, 
2023/7/10, 6, 13, 40, 4, 
2023/7/11, 10, 15, 29, 2, 
2023/7/12, 1, 14, 33, 3, 
2023/7/13, 4, 14, 34, 4, 
2023/7/14, 8, 12, 26, 3, 
2023/7/15, 6, 16, 27, 1, 
2023/7/16, 11, 14, 28, 2, 
2023/7/17, 7, 13, 34, 4, 
2023/7/18, 3, 14, 33, 6, 
2023/7/19, 6, 7, 30, 2, 
2023/7/20, 5, 10, 28, 3, 
2023/7/21, 7, 12, 23, 5, 
2023/7/22, 18, 9, 25, 2, 
2023/7/23, 4, 10, 26, 2, 
2023/7/24, 10, 10, 28, 2, 
2023/7/25, 6, 9, 29, 4, 
2023/7/26, 4, 9, 18, 4, 
2023/7/27, 9, 14, 16, 3, 
2023/7/28, 11, 10, 27, 2, 
2023/7/29, 2, 15, 27, 2, 
2023/7/30, 3, 10, 23, 2, 
